IECC_Climate,sqft,ACH50,CDF
1A,1000,4,0.003
1A,1000,4.5,0.006
1A,1000,5,0.012
1A,1000,5.5,0.018
1A,1000,6,0.03
1A,1000,6.5,0.047
1A,1000,7,0.061
1A,1000,7.5,0.086
1A,1000,8,0.104
1A,1000,8.5,0.135
1A,1000,9,0.17
1A,1000,9.5,0.194
1A,1000,10,0.232
1A,1000,11,0.299
1A,1000,12,0.366
1A,1000,13,0.433
1A,1000,14,0.496
1A,1000,15,0.567
1A,1000,16,0.62
1A,1000,17,0.668
1A,1000,18,0.711
1A,1000,19,0.75
1A,1000,20,0.784
1A,1000,21,0.818
1A,1000,22,0.844
1A,1000,23,0.865
1A,1000,24,0.884
1A,1000,25,0.9
1A,1000,26,0.914
1A,1000,27,0.928
1A,1000,28,0.938
1A,1000,29,0.947
1A,1000,30,0.954
1A,1000,31,0.961
1A,1000,32,0.966
1A,1000,33,0.972
1A,1000,34,0.976
1A,1000,35,0.979
1A,1000,36,0.982
1A,1000,37,0.984
1A,1000,38,0.986
1A,1000,39,0.989
1A,1000,40,0.99
1A,1000,41,0.991
1A,1000,42,0.993
1A,1000,43,0.994
1A,1000,44,0.994
1A,1000,45,0.995
1A,1000,46,0.996
1A,1000,47,0.996
1A,1000,48,0.997
1A,1000,49,0.997
1A,1000,50,0.998
1A,1000,50,1
1A,1500,3.5,0.002
1A,1500,4,0.006
1A,1500,4.5,0.01
1A,1500,5,0.02
1A,1500,5.5,0.029
1A,1500,6,0.047
1A,1500,6.5,0.071
1A,1500,7,0.09
1A,1500,7.5,0.122
1A,1500,8,0.146
1A,1500,8.5,0.185
1A,1500,9,0.227
1A,1500,9.5,0.256
1A,1500,10,0.3
1A,1500,11,0.374
1A,1500,12,0.446
1A,1500,13,0.515
1A,1500,14,0.578
1A,1500,15,0.646
1A,1500,16,0.696
1A,1500,17,0.739
1A,1500,18,0.777
1A,1500,19,0.811
1A,1500,20,0.839
1A,1500,21,0.868
1A,1500,22,0.888
1A,1500,23,0.905
1A,1500,24,0.919
1A,1500,25,0.932
1A,1500,26,0.942
1A,1500,27,0.953
1A,1500,28,0.96
1A,1500,29,0.966
1A,1500,30,0.971
1A,1500,31,0.975
1A,1500,32,0.979
1A,1500,33,0.983
1A,1500,34,0.985
1A,1500,35,0.987
1A,1500,36,0.989
1A,1500,37,0.991
1A,1500,38,0.992
1A,1500,39,0.993
1A,1500,40,0.994
1A,1500,41,0.995
1A,1500,42,0.996
1A,1500,43,0.996
1A,1500,44,0.997
1A,1500,45,0.997
1A,1500,46,0.998
1A,1500,47,0.998
1A,1500,48,0.998
1A,1500,49,0.999
1A,1500,49,1
1A,2000,3,0.002
1A,2000,3.5,0.004
1A,2000,4,0.01
1A,2000,4.5,0.017
1A,2000,5,0.032
1A,2000,5.5,0.045
1A,2000,6,0.071
1A,2000,6.5,0.104
1A,2000,7,0.128
1A,2000,7.5,0.169
1A,2000,8,0.199
1A,2000,8.5,0.245
1A,2000,9,0.294
1A,2000,9.5,0.326
1A,2000,10,0.375
1A,2000,11,0.454
1A,2000,12,0.528
1A,2000,13,0.596
1A,2000,14,0.656
1A,2000,15,0.719
1A,2000,16,0.763
1A,2000,17,0.802
1A,2000,18,0.834
1A,2000,19,0.861
1A,2000,20,0.884
1A,2000,21,0.907
1A,2000,22,0.922
1A,2000,23,0.935
1A,2000,24,0.946
1A,2000,25,0.955
1A,2000,26,0.962
1A,2000,27,0.97
1A,2000,28,0.975
1A,2000,29,0.979
1A,2000,30,0.982
1A,2000,31,0.985
1A,2000,32,0.987
1A,2000,33,0.99
1A,2000,34,0.991
1A,2000,35,0.993
1A,2000,36,0.994
1A,2000,37,0.995
1A,2000,38,0.996
1A,2000,39,0.996
1A,2000,40,0.997
1A,2000,41,0.997
1A,2000,42,0.998
1A,2000,43,0.998
1A,2000,44,0.998
1A,2000,45,0.999
1A,2000,45,1
1A,2500,3,0.003
1A,2500,3.5,0.007
1A,2500,4,0.017
1A,2500,4.5,0.027
1A,2500,5,0.05
1A,2500,5.5,0.069
1A,2500,6,0.104
1A,2500,6.5,0.146
1A,2500,7,0.177
1A,2500,7.5,0.226
1A,2500,8,0.261
1A,2500,8.5,0.314
1A,2500,9,0.368
1A,2500,9.5,0.403
1A,2500,10,0.455
1A,2500,11,0.536
1A,2500,12,0.609
1A,2500,13,0.673
1A,2500,14,0.729
1A,2500,15,0.784
1A,2500,16,0.822
1A,2500,17,0.854
1A,2500,18,0.88
1A,2500,19,0.902
1A,2500,20,0.92
1A,2500,21,0.937
1A,2500,22,0.948
1A,2500,23,0.957
1A,2500,24,0.965
1A,2500,25,0.971
1A,2500,26,0.976
1A,2500,27,0.981
1A,2500,28,0.985
1A,2500,29,0.987
1A,2500,30,0.99
1A,2500,31,0.991
1A,2500,32,0.993
1A,2500,33,0.994
1A,2500,34,0.995
1A,2500,35,0.996
1A,2500,36,0.997
1A,2500,37,0.997
1A,2500,38,0.998
1A,2500,39,0.998
1A,2500,40,0.998
1A,2500,41,0.999
1A,2500,41,1
1A,3000,3,0.006
1A,3000,3.5,0.012
1A,3000,4,0.028
1A,3000,4.5,0.043
1A,3000,5,0.074
1A,3000,5.5,0.1
1A,3000,6,0.146
1A,3000,6.5,0.198
1A,3000,7,0.235
1A,3000,7.5,0.293
1A,3000,8,0.332
1A,3000,8.5,0.391
1A,3000,9,0.448
1A,3000,9.5,0.485
1A,3000,10,0.537
1A,3000,11,0.617
1A,3000,12,0.685
1A,3000,13,0.744
1A,3000,14,0.792
1A,3000,15,0.839
1A,3000,16,0.871
1A,3000,17,0.896
1A,3000,18,0.916
1A,3000,19,0.933
1A,3000,20,0.946
1A,3000,21,0.959
1A,3000,22,0.967
1A,3000,23,0.973
1A,3000,24,0.978
1A,3000,25,0.982
1A,3000,26,0.986
1A,3000,27,0.989
1A,3000,28,0.991
1A,3000,29,0.993
1A,3000,30,0.994
1A,3000,31,0.995
1A,3000,32,0.996
1A,3000,33,0.997
1A,3000,34,0.997
1A,3000,35,0.998
1A,3000,36,0.998
1A,3000,37,0.999
1A,3000,37,1
1A,3500,2.5,0.003
1A,3500,3,0.01
1A,3500,3.5,0.02
1A,3500,4,0.044
1A,3500,4.5,0.066
1A,3500,5,0.108
1A,3500,5.5,0.142
1A,3500,6,0.198
1A,3500,6.5,0.26
1A,3500,7,0.303
1A,3500,7.5,0.367
1A,3500,8,0.41
1A,3500,8.5,0.472
1A,3500,9,0.53
1A,3500,9.5,0.566
1A,3500,10,0.618
1A,3500,11,0.692
1A,3500,12,0.755
1A,3500,13,0.805
1A,3500,14,0.846
1A,3500,15,0.885
1A,3500,16,0.909
1A,3500,17,0.929
1A,3500,18,0.944
1A,3500,19,0.956
1A,3500,20,0.965
1A,3500,21,0.974
1A,3500,22,0.979
1A,3500,23,0.984
1A,3500,24,0.987
1A,3500,25,0.99
1A,3500,26,0.992
1A,3500,27,0.994
1A,3500,28,0.995
1A,3500,29,0.996
1A,3500,30,0.997
1A,3500,31,0.997
1A,3500,32,0.998
1A,3500,33,0.998
1A,3500,34,0.999
1A,3500,34,1
1A,4000,2.5,0.005
1A,4000,3,0.018
1A,4000,3.5,0.032
1A,4000,4,0.066
1A,4000,4.5,0.096
1A,4000,5,0.151
1A,4000,5.5,0.193
1A,4000,6,0.261
1A,4000,6.5,0.331
1A,4000,7,0.378
1A,4000,7.5,0.447
1A,4000,8,0.491
1A,4000,8.5,0.554
1A,4000,9,0.611
1A,4000,9.5,0.646
1A,4000,10,0.693
1A,4000,11,0.761
1A,4000,12,0.815
1A,4000,13,0.857
1A,4000,14,0.89
1A,4000,15,0.92
1A,4000,16,0.938
1A,4000,17,0.953
1A,4000,18,0.964
1A,4000,19,0.972
1A,4000,20,0.978
1A,4000,21,0.984
1A,4000,22,0.988
1A,4000,23,0.99
1A,4000,24,0.992
1A,4000,25,0.994
1A,4000,26,0.995
1A,4000,27,0.997
1A,4000,28,0.997
1A,4000,29,0.998
1A,4000,30,0.998
1A,4000,31,0.999
1A,4000,31,1
2A,1000,4,0.003
2A,1000,4.5,0.006
2A,1000,5,0.012
2A,1000,5.5,0.018
2A,1000,6,0.03
2A,1000,6.5,0.047
2A,1000,7,0.061
2A,1000,7.5,0.086
2A,1000,8,0.104
2A,1000,8.5,0.135
2A,1000,9,0.17
2A,1000,9.5,0.194
2A,1000,10,0.232
2A,1000,11,0.299
2A,1000,12,0.366
2A,1000,13,0.433
2A,1000,14,0.496
2A,1000,15,0.567
2A,1000,16,0.62
2A,1000,17,0.668
2A,1000,18,0.711
2A,1000,19,0.75
2A,1000,20,0.784
2A,1000,21,0.818
2A,1000,22,0.844
2A,1000,23,0.865
2A,1000,24,0.884
2A,1000,25,0.9
2A,1000,26,0.914
2A,1000,27,0.928
2A,1000,28,0.938
2A,1000,29,0.947
2A,1000,30,0.954
2A,1000,31,0.961
2A,1000,32,0.966
2A,1000,33,0.972
2A,1000,34,0.976
2A,1000,35,0.979
2A,1000,36,0.982
2A,1000,37,0.984
2A,1000,38,0.986
2A,1000,39,0.989
2A,1000,40,0.99
2A,1000,41,0.991
2A,1000,42,0.993
2A,1000,43,0.994
2A,1000,44,0.994
2A,1000,45,0.995
2A,1000,46,0.996
2A,1000,47,0.996
2A,1000,48,0.997
2A,1000,49,0.997
2A,1000,50,0.998
2A,1000,50,1
2A,1500,3.5,0.002
2A,1500,4,0.006
2A,1500,4.5,0.01
2A,1500,5,0.02
2A,1500,5.5,0.029
2A,1500,6,0.047
2A,1500,6.5,0.071
2A,1500,7,0.09
2A,1500,7.5,0.122
2A,1500,8,0.146
2A,1500,8.5,0.185
2A,1500,9,0.227
2A,1500,9.5,0.256
2A,1500,10,0.3
2A,1500,11,0.374
2A,1500,12,0.446
2A,1500,13,0.515
2A,1500,14,0.578
2A,1500,15,0.646
2A,1500,16,0.696
2A,1500,17,0.739
2A,1500,18,0.777
2A,1500,19,0.811
2A,1500,20,0.839
2A,1500,21,0.868
2A,1500,22,0.888
2A,1500,23,0.905
2A,1500,24,0.919
2A,1500,25,0.932
2A,1500,26,0.942
2A,1500,27,0.953
2A,1500,28,0.96
2A,1500,29,0.966
2A,1500,30,0.971
2A,1500,31,0.975
2A,1500,32,0.979
2A,1500,33,0.983
2A,1500,34,0.985
2A,1500,35,0.987
2A,1500,36,0.989
2A,1500,37,0.991
2A,1500,38,0.992
2A,1500,39,0.993
2A,1500,40,0.994
2A,1500,41,0.995
2A,1500,42,0.996
2A,1500,43,0.996
2A,1500,44,0.997
