,node_num
0,48_C
1,19_A
2,84_C
3,12_B
4,87_B
5,7_A
6,94_A
7,76_A
8,28_A
9,2_B
10,88_A
11,83_C
12,9_A
13,38_B
14,62_C
15,32_C
16,30_A
17,100_C
18,17_C
19,42_A
20,43_B
21,22_B
22,62_C
23,79_A
24,104_C
25,104_C
26,114_A
27,103_C
28,20_A
29,12_B
30,10_A
31,75_C
32,73_C
33,34_C
34,68_A
35,2_B
36,1_A
37,71_A
38,96_B
39,11_A
40,106_B
41,20_A
42,58_B
43,84_C
44,45_A
45,83_C
46,5_C
47,82_A
48,33_A
49,60_A
50,68_A
51,5_C
52,79_A
53,37_A
54,52_A
55,88_A
56,39_B
57,64_B
58,95_B
59,50_C
60,98_A
61,24_C
62,76_A
63,79_A
64,38_B
65,104_C
66,10_A
67,39_B
68,34_C
69,77_B
70,35_A
71,41_C
72,48_C
73,99_B
74,49_A
75,11_A
76,47_A
77,47_C
78,16_C
79,35_A
80,24_C
81,104_C
82,112_A
83,86_B
84,74_C
85,56_B
86,47_A
87,106_B
88,35_A
89,65_C
90,76_B
91,90_B
92,1_A
93,90_B
94,9_A
95,64_B
96,102_C
97,82_A
98,4_C
99,88_A
100,111_A
101,33_A
102,87_B
103,90_B
104,87_B
105,88_A
106,52_A
107,32_C
108,45_A
109,48_B
110,55_A
111,79_A
112,98_A
113,20_A
114,16_C
115,35_A
116,96_B
117,37_A
118,86_B
119,112_A
120,47_A
121,19_A
122,76_B
123,114_A
124,71_A
125,37_A
126,98_A
127,4_C
128,16_C
129,65_B
130,98_A
131,103_C
132,82_A
133,76_C
134,59_B
135,65_B
136,24_C
137,7_A
138,29_A
139,51_A
140,59_B
141,34_C
142,20_A
143,65_A
144,100_C
145,16_C
146,65_C
147,73_C
148,66_C
149,107_B
150,33_A
151,99_B
152,22_B
153,20_A
154,100_C
155,52_A
156,9_A
157,90_B
158,66_C
159,70_A
160,24_C
161,37_A
162,76_C
163,65_A
164,80_B
165,48_B
166,33_A
167,49_C
168,90_B
169,111_A
170,60_A
171,58_B
172,49_C
173,92_C
174,55_A
175,104_C
176,28_A
177,42_A
178,77_B
179,76_C
180,92_C
181,56_B
182,1_A
183,43_B
184,75_C
185,87_B
186,48_A
187,65_A
188,113_A
189,47_B
190,4_C
191,100_C
192,99_B
193,65_B
194,47_A
195,65_C
196,98_A
197,46_A
198,11_A
199,47_A
200,11_A
201,100_C
202,62_C
203,94_A
204,50_C
205,76_A
206,99_B
207,37_A
208,53_A
209,24_C
210,22_B
211,31_C
212,103_C
213,65_A
214,71_A
215,47_C
216,31_C
217,77_B
218,99_B
219,49_A
220,94_A
221,75_C
222,51_A
223,76_C
224,106_B
225,29_A
226,79_A
227,76_A
228,71_A
229,92_C
230,29_A
231,49_B
232,48_A
233,34_C
234,49_A
235,50_C
236,82_A
237,62_C
238,74_C
239,53_A
240,65_B
241,1_A
242,103_C
243,28_A
244,63_A
245,16_C
246,35_A
247,22_B
248,75_C
249,33_A
250,66_C
251,106_B
252,95_B
253,65_B
254,94_A
255,22_B
256,65_A
257,69_A
258,102_C
259,43_B
260,53_A
261,48_C
262,34_C
263,88_A
264,19_A
265,70_A
266,49_B
267,52_A
268,49_A
269,80_B
270,47_B
271,52_A
272,66_C
273,80_B
274,85_C
275,64_B
276,107_B
277,41_C
278,76_A
279,64_B
280,82_A
281,19_A
282,49_B
283,73_C
284,48_B
285,76_C
286,50_C
287,106_B
288,113_A
289,17_C
290,48_B
291,28_A
292,48_A
293,50_C
294,4_C
295,113_A
296,48_B
297,4_C
298,48_B
299,49_C
300,30_A
301,49_A
302,75_C
303,107_B
304,92_C
305,87_B
306,69_A
307,69_A
308,28_A
309,48_C
310,9_A
311,48_A
312,1_A
313,48_B
314,30_A
315,64_B
316,62_C
317,43_B
318,73_C
319,11_A
320,49_C
321,76_C
322,76_A
323,19_A
324,29_A
325,47_B
326,103_C
327,64_B
328,66_C
329,92_C
330,6_C
331,69_A
332,73_C
333,30_A
334,71_A
335,46_A
336,53_A
337,74_C
338,94_A
339,47_B
340,6_C
341,49_B
342,77_B
343,47_C
344,47_C
345,49_C
346,80_B
347,48_C
348,47_B
349,63_A
350,77_B
351,48_C
352,76_A
353,48_C
354,113_A
355,30_A
356,64_B
357,113_A
358,48_B
359,43_B
360,49_B
361,65_C
362,109_A
363,29_A
364,66_C
365,63_A
366,74_C
367,63_A
368,64_B
369,63_A
370,76_B
371,53_A
372,48_B
373,47_C
374,64_B
375,76_A
376,107_B
377,69_A
378,6_C
379,76_C
380,48_C
381,48_A
382,74_C
383,9_A
384,76_B
385,76_C
386,6_C
387,109_A
388,48_C
389,80_B
390,49_B
391,48_C
392,66_C
393,48_B
394,76_C
395,49_B
396,65_C
397,65_C
398,76_A
399,109_A
400,64_B
401,76_B
402,107_B
403,76_A
404,109_A
405,49_B
406,6_C
407,76_A
408,66_C
409,65_C
410,85_C
411,76_B
412,49_B
413,76_C
414,66_C
415,85_C
416,109_A
417,76_A
418,85_C
419,76_B
420,76_A
421,65_C
422,65_C
423,76_A
424,85_C
425,76_B
426,48_A
427,76_A
428,66_C
429,48_A
430,65_C
431,76_B
432,48_A
433,48_A
434,48_A
435,49_B
436,76_B
