# timestamp,PV_inverter_1,PV_inverter_2,PV_inverter_3,PV_inverter_4,PV_inverter_5,PV_inverter_6
2016-07-31 12:00:00 UTC,1170.52,1801.21,1870.61,1766.38,1553.49,1516.79
2016-07-31 12:05:00 UTC,1134.58,1745.89,1813.16,1712.13,1505.78,1470.21
2016-07-31 12:10:00 UTC,1133.27,1743.89,1811.08,1710.17,1504.05,1468.52
2016-07-31 12:15:00 UTC,1131.5,1741.17,1808.25,1707.5,1501.7,1466.23
2016-07-31 12:20:00 UTC,1129.27,1737.72,1804.68,1704.12,1498.73,1463.33
2016-07-31 12:25:00 UTC,1126.56,1733.55,1800.35,1700.04,1495.14,1459.82
2016-07-31 12:30:00 UTC,1123.37,1728.65,1795.26,1695.23,1490.91,1455.69
2016-07-31 12:35:00 UTC,1119.71,1723.01,1789.4,1689.69,1486.04,1450.94
2016-07-31 12:40:00 UTC,1115.55,1716.62,1782.76,1683.43,1480.53,1445.56
2016-07-31 12:45:00 UTC,1110.91,1709.48,1775.34,1676.42,1474.37,1439.54
2016-07-31 12:50:00 UTC,1105.78,1701.58,1767.14,1668.68,1467.56,1432.89
2016-07-31 12:55:00 UTC,1100.15,1692.91,1758.14,1660.18,1460.08,1425.59
2016-07-31 13:00:00 UTC,1094.01,1683.47,1748.34,1650.92,1451.95,1417.65
2016-07-31 13:05:00 UTC,1087.64,1673.66,1738.15,1641.3,1443.48,1409.38
2016-07-31 13:10:00 UTC,1080.72,1663.02,1727.1,1630.87,1434.31,1400.43
2016-07-31 13:15:00 UTC,1073.25,1651.53,1715.16,1619.59,1424.39,1390.75
2016-07-31 13:20:00 UTC,1065.22,1639.16,1702.32,1607.47,1413.73,1380.33
2016-07-31 13:25:00 UTC,1056.62,1625.93,1688.57,1594.49,1402.31,1369.19
2016-07-31 13:30:00 UTC,1047.44,1611.81,1673.91,1580.64,1390.13,1357.3
2016-07-31 13:35:00 UTC,1037.69,1596.8,1658.32,1565.92,1377.19,1344.66
2016-07-31 13:40:00 UTC,1027.35,1580.9,1641.81,1550.33,1363.48,1331.27
2016-07-31 13:45:00 UTC,1016.43,1564.1,1624.36,1533.85,1348.99,1317.12
2016-07-31 13:50:00 UTC,1008.76,1552.28,1612.1,1522.27,1338.8,1307.17
2016-07-31 13:55:00 UTC,996.497,1533.41,1592.5,1503.76,1322.52,1291.28
2016-07-31 14:00:00 UTC,983.6360000000001,1513.62,1571.95,1484.36,1305.46,1274.62
2016-07-31 14:05:00 UTC,970.3430000000001,1493.17,1550.7,1464.3,1287.81,1257.39
2016-07-31 14:10:00 UTC,956.3889999999999,1471.7,1528.4,1443.24,1269.29,1239.31
2016-07-31 14:15:00 UTC,941.793,1449.24,1505.08,1421.21,1249.92,1220.4
2016-07-31 14:20:00 UTC,926.563,1425.8,1480.74,1398.23,1229.71,1200.66
2016-07-31 14:25:00 UTC,910.705,1401.4,1455.4,1374.3,1208.66,1180.11
2016-07-31 14:30:00 UTC,894.2280000000001,1376.04,1429.06,1349.44,1186.8,1158.76
2016-07-31 14:35:00 UTC,877.14,1349.75,1401.75,1323.65,1164.12,1136.62
2016-07-31 14:40:00 UTC,859.452,1322.53,1373.49,1296.96,1140.64,1113.7
2016-07-31 14:45:00 UTC,841.175,1294.4,1344.28,1269.38,1116.38,1090.01
2016-07-31 14:50:00 UTC,822.321,1265.39,1314.15,1240.92,1091.36,1065.58
2016-07-31 14:55:00 UTC,802.904,1235.51,1283.12,1211.62,1065.59,1040.42
2016-07-31 15:00:00 UTC,782.939,1204.79,1251.21,1181.49,1039.1,1014.55
2016-07-31 15:05:00 UTC,762.8439999999999,1173.87,1219.1,1151.17,1012.43,988.51
2016-07-31 15:10:00 UTC,742.145,1142.02,1186.02,1119.94,984.956,961.688
2016-07-31 15:15:00 UTC,720.863,1109.27,1152.01,1087.82,956.711,934.1110000000001
2016-07-31 15:20:00 UTC,699.02,1075.66,1117.1,1054.86,927.721,905.805
2016-07-31 15:25:00 UTC,676.6389999999999,1041.22,1081.34,1021.08,898.018,876.805
2016-07-31 15:30:00 UTC,653.749,1005.99,1044.75,986.54,867.638,847.1419999999999
2016-07-31 15:35:00 UTC,630.375,970.025,1007.4,951.2689999999999,836.618,816.855
2016-07-31 15:40:00 UTC,606.5509999999999,933.3639999999999,969.327,915.317,804.998,785.982
2016-07-31 15:45:00 UTC,582.308,896.059,930.585,878.7330000000001,772.824,754.568
2016-07-31 15:50:00 UTC,557.682,858.164,891.23,841.57,740.1410000000001,722.6560000000001
2016-07-31 15:55:00 UTC,532.71,819.738,851.323,803.887,706.9989999999999,690.298
2016-07-31 16:00:00 UTC,507.434,780.8430000000001,810.929,765.7439999999999,673.453,657.545
2016-07-31 16:05:00 UTC,482.254,742.095,770.688,727.7460000000001,640.035,624.915
2016-07-31 16:10:00 UTC,456.722,702.807,729.887,689.2180000000001,606.15,591.831
2016-07-31 16:15:00 UTC,430.916,663.095,688.645,650.274,571.9,558.39
2016-07-31 16:20:00 UTC,404.902,623.065,647.072,611.0169999999999,537.375,524.681
2016-07-31 16:25:00 UTC,378.755,582.83,605.2869999999999,571.56,502.673,490.79900000000004
2016-07-31 16:30:00 UTC,346.04,532.488,553.006,522.192,459.255,448.406
2016-07-31 16:35:00 UTC,319.32,491.371,510.30400000000003,481.87,423.793,413.782
2016-07-31 16:40:00 UTC,292.60200000000003,450.25699999999995,467.606,441.551,388.334,379.16
2016-07-31 16:45:00 UTC,265.962,409.264,425.033,401.35,352.978,344.639
2016-07-31 16:50:00 UTC,239.479,368.51099999999997,382.71,361.38599999999997,317.83,310.322
2016-07-31 16:55:00 UTC,213.236,328.12800000000004,340.77099999999996,321.783,283.001,276.315
2016-07-31 17:00:00 UTC,187.32,288.248,299.355,282.675,248.606,242.733
2016-07-31 17:05:00 UTC,161.62,248.701,258.284,243.892,214.497,209.43
2016-07-31 17:10:00 UTC,140.361,215.988,224.31,211.812,186.283,181.88299999999998
2016-07-31 17:15:00 UTC,136.535,210.1,218.195,206.03799999999998,181.205,176.925
2016-07-31 17:20:00 UTC,132.638,204.104,211.96900000000002,200.158,176.03400000000002,171.87599999999998
2016-07-31 17:25:00 UTC,128.671,197.99900000000002,205.628,194.171,170.769,166.735
2016-07-31 17:30:00 UTC,124.631,191.783,199.173,188.075,165.407,161.5
2016-07-31 17:35:00 UTC,120.51899999999999,185.455,192.601,181.86900000000003,159.94899999999998,156.171
2016-07-31 17:40:00 UTC,116.333,179.014,185.91099999999997,175.55200000000002,154.394,150.747
2016-07-31 17:45:00 UTC,112.074,172.46,179.105,169.12599999999998,148.74200000000002,145.22799999999998
2016-07-31 17:50:00 UTC,107.744,165.796,172.185,162.591,142.994,139.616
2016-07-31 17:55:00 UTC,103.34200000000001,159.024,165.15099999999998,155.94899999999998,137.153,133.91299999999998
2016-07-31 18:00:00 UTC,96.3538,148.27,153.983,145.403,127.87799999999999,124.85700000000001
2016-07-31 18:05:00 UTC,84.2492,129.643,134.638,127.13600000000001,111.81299999999999,109.17200000000001
2016-07-31 18:10:00 UTC,70.4361,108.38799999999999,112.564,106.292,93.48100000000001,91.2727
2016-07-31 18:15:00 UTC,45.7623,70.4192,73.1326,69.0576,60.7345,59.2998
2016-07-31 18:20:00 UTC,81.5021,125.416,130.248,122.991,108.167,105.61200000000001
2016-07-31 18:25:00 UTC,75.6413,116.397,120.882,114.147,100.389,98.0177
2016-07-31 18:30:00 UTC,69.9194,107.59200000000001,111.738,105.512,92.7953,90.6032
2016-07-31 18:35:00 UTC,64.3576,99.0339,102.85,97.119,85.4138,83.3961
2016-07-31 18:40:00 UTC,58.9652,90.736,94.2321,88.9815,78.2571,76.4084
2016-07-31 18:45:00 UTC,54.3293,83.6022,86.8235,81.9857,72.1044,70.4011
2016-07-31 18:50:00 UTC,49.0142,75.4233,78.3294,73.965,65.0504,63.5137
2016-07-31 18:55:00 UTC,43.9341,67.6061,70.211,66.2989,58.3082,56.9308
2016-07-31 19:00:00 UTC,39.091,60.1535,62.4712,58.9904,51.8806,50.655
2016-07-31 19:05:00 UTC,34.3778,52.9007,54.93899999999999,51.8778,45.6253,44.5475
2016-07-31 19:10:00 UTC,29.9246,46.0481,47.8223,45.1577,39.7151,38.7769
2016-07-31 19:15:00 UTC,25.7329,39.5979,41.1237,38.8323,34.152,33.3453
2016-07-31 19:20:00 UTC,21.8043,33.5526,34.8454,32.9038,28.9381,28.2545
2016-07-31 19:25:00 UTC,18.1403,27.9144,28.9899,27.3746,24.0753,23.5066
2016-07-31 19:30:00 UTC,14.7421,22.6852,23.5593,22.2466,19.5653,19.1031
2016-07-31 19:35:00 UTC,11.610999999999999,17.8671,18.5556,17.5216,15.4099,15.0458
2016-07-31 19:40:00 UTC,8.74826,13.4619,13.9806,13.2016,11.6105,11.3362
2016-07-31 19:45:00 UTC,6.15484,9.471110000000001,9.836039999999999,9.287980000000001,8.16855,7.97558
2016-07-31 19:50:00 UTC,3.83176,5.89633,6.12352,5.7823199999999995,5.0854099999999995,4.96528
2016-07-31 19:55:00 UTC,1.7798900000000002,2.7389,2.84443,2.68594,2.36222,2.30642
2016-07-31 20:00:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 20:05:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 20:10:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 20:15:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 20:20:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 20:25:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 20:30:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 20:35:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 20:40:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 20:45:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 20:50:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 20:55:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 21:00:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 21:05:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 21:10:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 21:15:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 21:20:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 21:25:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 21:30:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 21:35:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 21:40:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 21:45:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 21:50:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 21:55:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 22:00:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 22:05:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 22:10:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 22:15:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 22:20:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 22:25:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 22:30:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 22:35:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 22:40:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 22:45:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 22:50:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 22:55:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 23:00:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 23:05:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 23:10:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 23:15:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 23:20:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 23:25:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 23:30:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 23:35:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 23:40:00 UTC,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31 23:45:00 UTC,0.0,0.0,0.0,0.0,0.0,
