battery_name,house_name,SOC_min,SOC_max,i_max,u_max,efficiency,SOC_t,active_t-1,active_t,threshold_sell,threshold_buy,p_sell,p_buy,residual_s,q_sell,residual_b,q_buy,lower_bound
Battery_1,GLD_1,0.0,50.0,15,3.9,0.95,4.09703,1,0,23.76,27.61,24.26,29.03,45.6526,3.9,548.3474,3.9,0.0
Battery_2,GLD_2,0.0,50.0,15,3.9,0.95,4.09703,1,0,23.76,27.61,24.26,29.03,45.6526,3.9,548.3474,3.9,0.0
Battery_3,GLD_3,0.0,50.0,15,3.9,0.95,4.09703,1,0,23.76,27.61,24.26,29.03,45.6526,3.9,548.3474,3.9,0.0
Battery_4,GLD_4,0.0,50.0,15,3.9,0.95,4.09703,1,0,23.76,27.61,24.26,29.03,45.6526,3.9,548.3474,3.9,0.0
Battery_5,GLD_5,0.0,50.0,15,3.9,0.95,4.09703,1,0,23.76,27.61,24.26,29.03,45.6526,3.9,548.3474,3.9,0.0
Battery_6,GLD_6,0.0,50.0,15,3.9,0.95,4.09703,1,0,23.76,27.61,24.26,29.03,45.6526,3.9,548.3474,3.9,0.0
