# file...... Results/load_node_149.csv
# date...... Thu Aug 19 14:30:53 2021
# user...... (null)
# host...... (null)
# target.... meter 7
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,measured_real_power, measured_reactive_power
2016-07-31 00:00:00 UTC,+2634.5,+1087.02
2016-07-31 00:05:00 UTC,+2944.88,+1238.79
2016-07-31 00:10:00 UTC,+2935.93,+1235.83
2016-07-31 00:15:00 UTC,+2848.88,+1195.03
2016-07-31 00:20:00 UTC,+2801.75,+1173.56
2016-07-31 00:25:00 UTC,+2793.69,+1171
2016-07-31 00:30:00 UTC,+2785.67,+1168.46
2016-07-31 00:35:00 UTC,+2834.78,+1193.58
2016-07-31 00:40:00 UTC,+3072.29,+1309.95
2016-07-31 00:45:00 UTC,+3043.74,+1297.44
2016-07-31 00:50:00 UTC,+2940.69,+1248.83
2016-07-31 00:55:00 UTC,+2913.2,+1236.82
2016-07-31 01:00:00 UTC,+2652.25,+1134.96
2016-07-31 01:05:00 UTC,+2681,+1149.98
2016-07-31 01:10:00 UTC,+2545.42,+1085.41
2016-07-31 01:15:00 UTC,+2538.18,+1082.98
2016-07-31 01:20:00 UTC,+2479.17,+1055.11
2016-07-31 01:25:00 UTC,+2262.02,+949.908
2016-07-31 01:30:00 UTC,+2262.02,+949.908
2016-07-31 01:35:00 UTC,+2262.02,+949.908
2016-07-31 01:40:00 UTC,+2280.12,+958.674
2016-07-31 01:45:00 UTC,+2316.32,+976.208
2016-07-31 01:50:00 UTC,+2352.52,+993.742
2016-07-31 01:55:00 UTC,+2334.42,+984.976
2016-07-31 02:00:00 UTC,+2130.61,+900.559
2016-07-31 02:05:00 UTC,+2112.51,+891.792
2016-07-31 02:10:00 UTC,+2112.51,+891.791
2016-07-31 02:15:00 UTC,+2311.61,+988.227
2016-07-31 02:20:00 UTC,+2365.91,+1014.53
2016-07-31 02:25:00 UTC,+2347.81,+1005.76
2016-07-31 02:30:00 UTC,+2384.01,+1023.29
2016-07-31 02:35:00 UTC,+2384.01,+1023.29
2016-07-31 02:40:00 UTC,+2347.81,+1005.76
2016-07-31 02:45:00 UTC,+2112.51,+891.792
2016-07-31 02:50:00 UTC,+2112.51,+891.792
2016-07-31 02:55:00 UTC,+2112.51,+891.791
2016-07-31 03:00:00 UTC,+2040.44,+861.492
2016-07-31 03:05:00 UTC,+2076.64,+879.027
2016-07-31 03:10:00 UTC,+2130.94,+905.326
2016-07-31 03:15:00 UTC,+2130.94,+905.326
2016-07-31 03:20:00 UTC,+2094.74,+887.793
2016-07-31 03:25:00 UTC,+2058.54,+870.259
2016-07-31 03:30:00 UTC,+2040.44,+861.493
2016-07-31 03:35:00 UTC,+2040.44,+861.493
2016-07-31 03:40:00 UTC,+2040.44,+861.493
2016-07-31 03:45:00 UTC,+2058.54,+870.259
2016-07-31 03:50:00 UTC,+2221.44,+949.16
2016-07-31 03:55:00 UTC,+2311.94,+992.995
2016-07-31 04:00:00 UTC,+2287.9,+981.51
2016-07-31 04:05:00 UTC,+2233.6,+955.208
2016-07-31 04:10:00 UTC,+2215.5,+946.442
2016-07-31 04:15:00 UTC,+2215.5,+946.442
2016-07-31 04:20:00 UTC,+2034.5,+858.773
2016-07-31 04:25:00 UTC,+2052.6,+867.539
2016-07-31 04:30:00 UTC,+4658.95,+2130.1
2016-07-31 04:35:00 UTC,+5075.24,+2331.78
2016-07-31 04:40:00 UTC,+2125,+902.607
2016-07-31 04:45:00 UTC,+2070.7,+876.306
2016-07-31 04:50:00 UTC,+2034.5,+858.773
2016-07-31 04:55:00 UTC,+2034.5,+858.773
2016-07-31 05:00:00 UTC,+2465.94,+1069.5
2016-07-31 05:05:00 UTC,+2406.54,+1043.2
2016-07-31 05:10:00 UTC,+2419.35,+1051.96
2016-07-31 05:15:00 UTC,+2437.49,+1069.5
2016-07-31 05:20:00 UTC,+2454.79,+1087.03
2016-07-31 05:25:00 UTC,+2426.7,+1087.03
2016-07-31 05:30:00 UTC,+2348.7,+1060.73
2016-07-31 05:35:00 UTC,+2094.88,+955.527
2016-07-31 05:40:00 UTC,+2034.55,+946.758
2016-07-31 05:45:00 UTC,+1986.81,+946.758
2016-07-31 05:50:00 UTC,+1933.64,+946.756
2016-07-31 05:55:00 UTC,+1896.88,+946.755
2016-07-31 06:00:00 UTC,+1965.59,+1007.68
2016-07-31 06:05:00 UTC,+1954.01,+1016.45
2016-07-31 06:10:00 UTC,+1721.96,+955.077
2016-07-31 06:15:00 UTC,+1621.51,+955.075
2016-07-31 06:20:00 UTC,+1489.81,+937.54
2016-07-31 06:25:00 UTC,+1344.81,+911.239
2016-07-31 06:30:00 UTC,+1258.85,+911.238
2016-07-31 06:35:00 UTC,+1178.15,+911.236
2016-07-31 06:40:00 UTC,+1102.66,+911.235
2016-07-31 06:45:00 UTC,+1285.71,+1033.97
2016-07-31 06:50:00 UTC,+1310.93,+1077.8
2016-07-31 06:55:00 UTC,+1235.99,+1095.33
2016-07-31 07:00:00 UTC,+7371.54,+4160.25
2016-07-31 07:05:00 UTC,+932.807,+1231.49
2016-07-31 07:10:00 UTC,+528.076,+1213.95
2016-07-31 07:15:00 UTC,+574.201,+1389.28
2016-07-31 07:20:00 UTC,-382.498,+1099.98
2016-07-31 07:25:00 UTC,-668.486,+1099.99
2016-07-31 07:30:00 UTC,-922.798,+1108.76
2016-07-31 07:35:00 UTC,-1220.68,+1108.76
2016-07-31 07:40:00 UTC,+455.292,+2038.06
2016-07-31 07:45:00 UTC,-1565.27,+1170.13
2016-07-31 07:50:00 UTC,-1816.25,+1152.61
2016-07-31 07:55:00 UTC,-1998.94,+1161.38
2016-07-31 08:00:00 UTC,-1689.28,+1396.24
2016-07-31 08:05:00 UTC,-1871.31,+1361.18
2016-07-31 08:10:00 UTC,-1888.17,+1405.01
2016-07-31 08:15:00 UTC,-2083.13,+1361.19
2016-07-31 08:20:00 UTC,+855.992,+2834.1
2016-07-31 08:25:00 UTC,-2247.12,+1378.73
2016-07-31 08:30:00 UTC,-2378.99,+1361.2
2016-07-31 08:35:00 UTC,-2399.3,+1396.26
2016-07-31 08:40:00 UTC,-2706.23,+1291.08
2016-07-31 08:45:00 UTC,-2866.06,+1264.78
2016-07-31 08:50:00 UTC,-650.847,+2378.12
2016-07-31 08:55:00 UTC,-3066.02,+1247.26
2016-07-31 09:00:00 UTC,-2942.51,+1333.5
2016-07-31 09:05:00 UTC,-1185.84,+2218.93
2016-07-31 09:10:00 UTC,+1402.16,+5281.07
2016-07-31 09:15:00 UTC,-838.346,+3341.27
2016-07-31 09:20:00 UTC,+1505.46,+5399.66
2016-07-31 09:25:00 UTC,-3054.02,+1438.71
2016-07-31 09:30:00 UTC,-702.334,+3499.38
2016-07-31 09:35:00 UTC,+1495.2,+5487.12
2016-07-31 09:40:00 UTC,-841.743,+3487.24
2016-07-31 09:45:00 UTC,+3658.12,+7486.85
2016-07-31 09:50:00 UTC,+1268.26,+5458.19
2016-07-31 09:55:00 UTC,-1161.13,+3406.65
2016-07-31 10:00:00 UTC,+3354.76,+7410.65
2016-07-31 10:05:00 UTC,+3314.43,+7412.43
2016-07-31 10:10:00 UTC,+992.684,+5407.82
2016-07-31 10:15:00 UTC,+992.116,+5426.97
2016-07-31 10:20:00 UTC,-1327.05,+3420.79
2016-07-31 10:25:00 UTC,-1450.3,+3378
2016-07-31 10:30:00 UTC,+3058.53,+7382.77
2016-07-31 10:35:00 UTC,+3051.76,+7395.56
2016-07-31 10:40:00 UTC,+774.842,+5403.93
2016-07-31 10:45:00 UTC,+717.218,+5389.52
2016-07-31 10:50:00 UTC,-1523.83,+3411.58
2016-07-31 10:55:00 UTC,-1397.69,+3483.5
2016-07-31 11:00:00 UTC,+7725.89,+11543.7
2016-07-31 11:05:00 UTC,+685.113,+5421.58
2016-07-31 11:10:00 UTC,-3912.15,+1380.76
2016-07-31 11:15:00 UTC,+670.927,+5429.01
2016-07-31 11:20:00 UTC,+2826.72,+7394.07
2016-07-31 11:25:00 UTC,+492.343,+5354.9
2016-07-31 11:30:00 UTC,+2798.95,+7394.68
2016-07-31 11:35:00 UTC,+511.185,+5374.47
2016-07-31 11:40:00 UTC,-4093.65,+1310.64
2016-07-31 11:45:00 UTC,+3095.28,+7554.48
2016-07-31 11:50:00 UTC,+8779.03,+10312.7
2016-07-31 11:55:00 UTC,+508.047,+5388.13
2016-07-31 12:00:00 UTC,+2910.2,+7486.16
2016-07-31 12:05:00 UTC,-1605.98,+3458.42
2016-07-31 12:10:00 UTC,-1577.55,+3474.76
2016-07-31 12:15:00 UTC,+3007.54,+7537.76
2016-07-31 12:20:00 UTC,+705.464,+5503.2
2016-07-31 12:25:00 UTC,-1646.74,+3444.95
2016-07-31 12:30:00 UTC,+5280.45,+9555.24
2016-07-31 12:35:00 UTC,+640.857,+5469.6
2016-07-31 12:40:00 UTC,-4100.11,+1336.55
2016-07-31 12:45:00 UTC,+2784.09,+7419.26
2016-07-31 12:50:00 UTC,+5089.2,+9447.31
2016-07-31 12:55:00 UTC,+1064.6,+5661.18
2016-07-31 13:00:00 UTC,-1759.95,+3367.07
2016-07-31 13:05:00 UTC,-1645.37,+3417.56
