,clearing_price,clearing_quantity,unresponsive_loads
2016-08-01 00:00:00,18.58,2.026,0.0
2016-08-01 00:05:00,18.58,2.47,0.4438599999999999
2016-08-01 00:10:00,18.58,2.463,0.43735000000000035
2016-08-01 00:15:00,18.63,2.457,0.4310000000000005
2016-08-01 00:20:00,18.63,2.451,0.4246800000000004
2016-08-01 00:25:00,18.63,2.638,0.6122400000000003
2016-08-01 00:30:00,18.32,2.631,0.6047900000000004
2016-08-01 00:35:00,18.32,2.623,0.5973900000000003
2016-08-01 00:40:00,18.32,2.616,0.5900200000000004
2016-08-01 00:45:00,17.52,9.077,7.05091
2016-08-01 00:50:00,17.52,2.414,0.38755000000000006
2016-08-01 00:55:00,17.52,2.407,0.38149000000000033
2016-08-01 01:00:00,17.18,2.401,0.37546999999999997
2016-08-01 01:05:00,17.18,2.196,0.1704100000000004
2016-08-01 01:10:00,17.18,2.191,0.16510999999999987
2016-08-01 01:15:00,16.71,2.406,0.3797600000000001
2016-08-01 01:20:00,16.71,2.381,0.3549500000000001
2016-08-01 01:25:00,16.71,2.376,0.3503400000000001
2016-08-01 01:30:00,16.51,2.376,0.3503799999999999
2016-08-01 01:35:00,16.51,2.376,0.3503799999999999
2016-08-01 01:40:00,16.51,2.376,0.3503799999999999
2016-08-01 01:45:00,16.39,2.376,0.3503799999999999
2016-08-01 01:50:00,16.39,2.376,0.3503799999999999
2016-08-01 01:55:00,16.39,2.376,0.3503799999999999
2016-08-01 02:00:00,15.88,2.539,0.51328
2016-08-01 02:05:00,15.88,2.426,0.40046000000000026
2016-08-01 02:10:00,15.88,2.426,0.40046000000000026
2016-08-01 02:15:00,15.35,2.481,0.4547600000000003
2016-08-01 02:20:00,15.35,2.445,0.41856000000000027
2016-08-01 02:25:00,15.35,2.245,0.2194600000000002
2016-08-01 02:30:00,15.32,2.245,0.2194600000000002
2016-08-01 02:35:00,15.32,2.245,0.2194600000000002
2016-08-01 02:40:00,15.32,2.245,0.2194600000000002
2016-08-01 02:45:00,15.19,2.064,0.038460000000000605
2016-08-01 02:50:00,15.19,0.038,0.038460000000000605
2016-08-01 02:55:00,15.19,4.09,2.0640500000000004
2016-08-01 03:00:00,15.0,1.794,1.79414
2016-08-01 03:05:00,15.0,4.066,2.03983
2016-08-01 03:10:00,15.0,0.032,0.032340000000000035
2016-08-01 03:15:00,14.55,4.066,2.03983
2016-08-01 03:20:00,14.55,0.014,0.01424000000000003
2016-08-01 03:25:00,14.55,4.066,2.03983
2016-08-01 03:30:00,14.97,0.195,0.19524000000000008
2016-08-01 03:35:00,14.97,4.247,2.22083
2016-08-01 03:40:00,14.97,0.195,0.19524000000000008
2016-08-01 03:45:00,16.17,4.247,2.22083
2016-08-01 03:50:00,16.17,0.195,0.19524000000000008
2016-08-01 03:55:00,16.17,4.066,2.03983
2016-08-01 04:00:00,15.43,0.014,0.01424000000000003
2016-08-01 04:05:00,15.43,4.064,2.03769
2016-08-01 04:10:00,15.43,0.012,0.012100000000000222
2016-08-01 04:15:00,15.31,14.194,2.03769
2016-08-01 04:20:00,15.31,-2.012,-10.115849999999998
2016-08-01 04:25:00,15.31,6.091,-6.06467
2016-08-01 04:30:00,15.31,-2.012,-10.115849999999998
2016-08-01 04:35:00,15.31,6.091,-6.06467
2016-08-01 04:40:00,15.31,-2.012,-10.115849999999998
2016-08-01 04:45:00,15.38,6.091,-6.06467
2016-08-01 04:50:00,15.38,0.014,-10.115849999999998
2016-08-01 04:55:00,15.38,4.066,-8.090259999999999
2016-08-01 05:00:00,16.21,0.213,-9.916749999999997
2016-08-01 05:05:00,16.21,4.386,-7.770389999999999
2016-08-01 05:10:00,16.21,0.332,-9.797849999999997
2016-08-01 05:15:00,16.38,4.384,-7.772223188999998
2016-08-01 05:20:00,16.38,0.332,-9.797779759999997
2016-08-01 05:25:00,16.38,4.203,-7.953142527999999
2016-08-01 05:30:00,16.83,0.151,-9.978694759999998
2016-08-01 05:35:00,16.83,4.203,-7.953060009999999
2016-08-01 05:40:00,16.83,0.151,-9.978592029999998
2016-08-01 05:45:00,17.15,4.188,-7.968454709999999
