# file...... Benchmarking/total_P_Out.csv
# date...... Sun Aug 22 10:28:53 2021
# user...... (null)
# host...... (null)
# group..... class=inverter
# property.. P_Out
# limit..... 0
# interval.. 300
# timestamp,PV_inverter_1,Bat_inverter_1,PV_inverter_2,Bat_inverter_2,PV_inverter_3,Bat_inverter_3,PV_inverter_4,Bat_inverter_4,PV_inverter_5,Bat_inverter_5,PV_inverter_6,Bat_inverter_6
2016-07-31 12:00:00 UTC,+828.487,+0,+1274.88,+0,+1324,+0,+1250.23,+0,+1099.55,+0,+1073.57,+0
2016-07-31 12:05:00 UTC,+806.963,+0,+1241.76,+0,+1289.6,+0,+1217.75,+0,+1070.98,+0,+1045.68,+0
2016-07-31 12:10:00 UTC,+807.695,+0,+1242.88,+0,+1290.77,+0,+1218.85,+0,+1071.95,+0,+1046.63,+0
2016-07-31 12:15:00 UTC,+808.269,+0,+1243.77,+0,+1291.69,+0,+1219.72,+0,+1072.71,+0,+1047.37,+0
2016-07-31 12:20:00 UTC,+808.682,+0,+1244.4,+0,+1292.35,+0,+1220.34,+0,+1073.26,+0,+1047.91,+0
2016-07-31 12:25:00 UTC,+808.93,+0,+1244.78,+0,+1292.75,+0,+1220.71,+0,+1073.59,+0,+1048.23,+0
2016-07-31 12:30:00 UTC,+809.008,+0,+1244.91,+0,+1292.87,+0,+1220.83,+0,+1073.69,+0,+1048.33,+0
2016-07-31 12:35:00 UTC,+808.914,+0,+1244.76,+0,+1292.72,+0,+1220.69,+0,+1073.57,+0,+1048.21,+0
2016-07-31 12:40:00 UTC,+808.644,+0,+1244.34,+0,+1292.29,+0,+1220.28,+0,+1073.21,+0,+1047.85,+0
2016-07-31 12:45:00 UTC,+808.195,+0,+1243.65,+0,+1291.57,+0,+1219.61,+0,+1072.61,+0,+1047.27,+0
2016-07-31 12:50:00 UTC,+807.565,+0,+1242.68,+0,+1290.56,+0,+1218.65,+0,+1071.78,+0,+1046.46,+0
2016-07-31 12:55:00 UTC,+806.753,+0,+1241.43,+0,+1289.27,+0,+1217.43,+0,+1070.7,+0,+1045.4,+0
2016-07-31 13:00:00 UTC,+805.755,+0,+1239.9,+0,+1287.67,+0,+1215.92,+0,+1069.38,+0,+1044.11,+0
2016-07-31 13:05:00 UTC,+804.801,+0,+1238.43,+0,+1286.15,+0,+1214.48,+0,+1068.11,+0,+1042.88,+0
2016-07-31 13:10:00 UTC,+803.68,+0,+1236.71,+0,+1284.36,+0,+1212.79,+0,+1066.62,+0,+1041.42,+0
2016-07-31 13:15:00 UTC,+802.316,+0,+1234.61,+0,+1282.18,+0,+1210.73,+0,+1064.81,+0,+1039.66,+0
2016-07-31 13:20:00 UTC,+800.707,+0,+1232.13,+0,+1279.6,+0,+1208.31,+0,+1062.68,+0,+1037.57,+0
2016-07-31 13:25:00 UTC,+798.853,+0,+1229.28,+0,+1276.64,+0,+1205.51,+0,+1060.22,+0,+1035.17,+0
2016-07-31 13:30:00 UTC,+796.753,+0,+1226.05,+0,+1273.29,+0,+1202.34,+0,+1057.43,+0,+1032.45,+0
2016-07-31 13:35:00 UTC,+794.406,+0,+1222.44,+0,+1269.54,+0,+1198.8,+0,+1054.31,+0,+1029.41,+0
2016-07-31 13:40:00 UTC,+791.812,+0,+1218.44,+0,+1265.39,+0,+1194.88,+0,+1050.87,+0,+1026.04,+0
2016-07-31 13:45:00 UTC,+788.969,+0,+1214.07,+0,+1260.85,+0,+1190.59,+0,+1047.1,+0,+1022.36,+0
2016-07-31 13:50:00 UTC,+784.369,+0,+1206.99,+0,+1253.5,+0,+1183.65,+0,+1040.99,+0,+1016.4,+0
2016-07-31 13:55:00 UTC,+781.015,+0,+1201.83,+0,+1248.13,+0,+1178.59,+0,+1036.54,+0,+1012.05,+0
2016-07-31 14:00:00 UTC,+777.416,+0,+1196.29,+0,+1242.38,+0,+1173.16,+0,+1031.77,+0,+1007.39,+0
2016-07-31 14:05:00 UTC,+773.678,+0,+1190.54,+0,+1236.41,+0,+1167.52,+0,+1026.8,+0,+1002.55,+0
2016-07-31 14:10:00 UTC,+769.622,+0,+1184.3,+0,+1229.93,+0,+1161.4,+0,+1021.42,+0,+997.29,+0
2016-07-31 14:15:00 UTC,+765.31,+0,+1177.66,+0,+1223.04,+0,+1154.89,+0,+1015.7,+0,+991.702,+0
2016-07-31 14:20:00 UTC,+760.742,+0,+1170.63,+0,+1215.74,+0,+1148,+0,+1009.64,+0,+985.783,+0
2016-07-31 14:25:00 UTC,+755.92,+0,+1163.21,+0,+1208.03,+0,+1140.72,+0,+1003.24,+0,+979.535,+0
2016-07-31 14:30:00 UTC,+750.846,+0,+1155.4,+0,+1199.92,+0,+1133.06,+0,+996.502,+0,+972.96,+0
2016-07-31 14:35:00 UTC,+745.519,+0,+1147.21,+0,+1191.41,+0,+1125.02,+0,+989.433,+0,+966.057,+0
2016-07-31 14:40:00 UTC,+739.942,+0,+1138.63,+0,+1182.5,+0,+1116.61,+0,+982.032,+0,+958.831,+0
2016-07-31 14:45:00 UTC,+734.116,+0,+1129.66,+0,+1173.19,+0,+1107.82,+0,+974.299,+0,+951.281,+0
2016-07-31 14:50:00 UTC,+728.042,+0,+1120.31,+0,+1163.48,+0,+1098.65,+0,+966.238,+0,+943.41,+0
2016-07-31 14:55:00 UTC,+721.722,+0,+1110.59,+0,+1153.38,+0,+1089.11,+0,+957.85,+0,+935.22,+0
2016-07-31 15:00:00 UTC,+715.157,+0,+1100.49,+0,+1142.89,+0,+1079.21,+0,+949.137,+0,+926.713,+0
2016-07-31 15:05:00 UTC,+708.723,+0,+1090.59,+0,+1132.6,+0,+1069.5,+0,+940.598,+0,+918.376,+0
2016-07-31 15:10:00 UTC,+701.976,+0,+1080.2,+0,+1121.82,+0,+1059.32,+0,+931.644,+0,+909.634,+0
2016-07-31 15:15:00 UTC,+694.92,+0,+1069.35,+0,+1110.55,+0,+1048.67,+0,+922.279,+0,+900.489,+0
2016-07-31 15:20:00 UTC,+687.554,+0,+1058.01,+0,+1098.78,+0,+1037.55,+0,+912.504,+0,+890.945,+0
2016-07-31 15:25:00 UTC,+679.883,+0,+1046.21,+0,+1086.52,+0,+1025.98,+0,+902.322,+0,+881.004,+0
2016-07-31 15:30:00 UTC,+671.905,+0,+1033.93,+0,+1073.77,+0,+1013.94,+0,+891.735,+0,+870.667,+0
2016-07-31 15:35:00 UTC,+663.624,+0,+1021.19,+0,+1060.53,+0,+1001.44,+0,+880.744,+0,+859.936,+0
2016-07-31 15:40:00 UTC,+655.04,+0,+1007.98,+0,+1046.82,+0,+988.488,+0,+869.352,+0,+848.813,+0
2016-07-31 15:45:00 UTC,+646.155,+0,+994.306,+0,+1032.62,+0,+975.079,+0,+857.559,+0,+837.299,+0
2016-07-31 15:50:00 UTC,+636.968,+0,+980.169,+0,+1017.93,+0,+961.215,+0,+845.366,+0,+825.394,+0
2016-07-31 15:55:00 UTC,+627.479,+0,+965.567,+0,+1002.77,+0,+946.896,+0,+832.773,+0,+813.098,+0
2016-07-31 16:00:00 UTC,+617.688,+0,+950.501,+0,+987.123,+0,+932.121,+0,+819.779,+0,+800.411,+0
2016-07-31 16:05:00 UTC,+608.203,+0,+935.906,+0,+971.965,+0,+917.808,+0,+807.191,+0,+788.121,+0
2016-07-31 16:10:00 UTC,+598.227,+0,+920.554,+0,+956.023,+0,+902.754,+0,+793.951,+0,+775.194,+0
2016-07-31 16:15:00 UTC,+587.842,+0,+904.574,+0,+939.426,+0,+887.082,+0,+780.168,+0,+761.736,+0
2016-07-31 16:20:00 UTC,+577.043,+0,+887.956,+0,+922.168,+0,+870.786,+0,+765.836,+0,+747.743,+0
2016-07-31 16:25:00 UTC,+565.822,+0,+870.69,+0,+904.237,+0,+853.853,+0,+750.944,+0,+733.203,+0
2016-07-31 16:30:00 UTC,+551.674,+0,+848.917,+0,+881.626,+0,+832.502,+0,+732.166,+0,+714.868,+0
2016-07-31 16:35:00 UTC,+540.231,+0,+831.31,+0,+863.34,+0,+815.235,+0,+716.98,+0,+700.041,+0
