# file...... Benchmarking/substation.csv
# date...... Sun Aug 22 19:59:48 2021
# user...... (null)
# host...... (null)
# target.... meter 7
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,measured_real_power
2016-07-31 12:00:00 UTC,-9660.6
2016-07-31 12:05:00 UTC,-9363.37
2016-07-31 12:10:00 UTC,-7037.54
2016-07-31 12:15:00 UTC,-9337.98
2016-07-31 12:20:00 UTC,-9319.48
2016-07-31 12:25:00 UTC,-2363.81
2016-07-31 12:30:00 UTC,-4651.38
2016-07-31 12:35:00 UTC,-9240.42
2016-07-31 12:40:00 UTC,-4171.76
2016-07-31 12:45:00 UTC,-4556.8
2016-07-31 12:50:00 UTC,-4517.4
2016-07-31 12:55:00 UTC,-6776.25
2016-07-31 13:00:00 UTC,-4006.76
2016-07-31 13:05:00 UTC,-6676.78
2016-07-31 13:10:00 UTC,-2029.59
2016-07-31 13:15:00 UTC,-6144.33
2016-07-31 13:20:00 UTC,-4205.94
2016-07-31 13:25:00 UTC,-1848.6
2016-07-31 13:30:00 UTC,-8642.89
2016-07-31 13:35:00 UTC,-5859.05
2016-07-31 13:40:00 UTC,-1621.24
2016-07-31 13:45:00 UTC,-3818.91
2016-07-31 13:50:00 UTC,-5624.7
2016-07-31 13:55:00 UTC,-1376.93
2016-07-31 14:00:00 UTC,-3554.08
2016-07-31 14:05:00 UTC,-8005.41
2016-07-31 14:10:00 UTC,-632.787
2016-07-31 14:15:00 UTC,-5488.71
2016-07-31 14:20:00 UTC,-3082.16
2016-07-31 14:25:00 UTC,-4816.3
2016-07-31 14:30:00 UTC,-2814.69
2016-07-31 14:35:00 UTC,-392.775
2016-07-31 14:40:00 UTC,-4392.51
2016-07-31 14:45:00 UTC,-2376.01
2016-07-31 14:50:00 UTC,-2220.11
2016-07-31 14:55:00 UTC,-4340.3
2016-07-31 15:00:00 UTC,-4175.2
2016-07-31 15:05:00 UTC,-1728.39
2016-07-31 15:10:00 UTC,-1557.25
2016-07-31 15:15:00 UTC,-965.896
2016-07-31 15:20:00 UTC,-1200.56
2016-07-31 15:25:00 UTC,-1015.59
2016-07-31 15:30:00 UTC,+1869.81
2016-07-31 15:35:00 UTC,-632.951
2016-07-31 15:40:00 UTC,-2716.69
2016-07-31 15:45:00 UTC,+2460.55
2016-07-31 15:50:00 UTC,-2312.6
2016-07-31 15:55:00 UTC,-4386.79
2016-07-31 16:00:00 UTC,+383.545
2016-07-31 16:05:00 UTC,-1271.81
2016-07-31 16:10:00 UTC,+3091.45
2016-07-31 16:15:00 UTC,-1260.88
2016-07-31 16:20:00 UTC,+1656.01
2016-07-31 16:25:00 UTC,+3742.01
2016-07-31 16:30:00 UTC,-2843.26
2016-07-31 16:35:00 UTC,+4649.78
2016-07-31 16:40:00 UTC,-116.535
2016-07-31 16:45:00 UTC,+103.099
2016-07-31 16:50:00 UTC,+321.18
2016-07-31 16:55:00 UTC,+5517.03
2016-07-31 17:00:00 UTC,+3030.66
2016-07-31 17:05:00 UTC,-1318.31
2016-07-31 17:10:00 UTC,+3408.82
2016-07-31 17:15:00 UTC,+3848.85
2016-07-31 17:20:00 UTC,+3461.53
2016-07-31 17:25:00 UTC,-1045.86
2016-07-31 17:30:00 UTC,-1012.46
2016-07-31 17:35:00 UTC,+1693.71
2016-07-31 17:40:00 UTC,+1313.57
2016-07-31 17:45:00 UTC,+1345.3
2016-07-31 17:50:00 UTC,-872.818
2016-07-31 17:55:00 UTC,-836.425
2016-07-31 18:00:00 UTC,-778.638
2016-07-31 18:05:00 UTC,+1558.14
2016-07-31 18:10:00 UTC,-564.327
2016-07-31 18:15:00 UTC,-360.3
2016-07-31 18:20:00 UTC,-655.829
2016-07-31 18:25:00 UTC,-607.369
2016-07-31 18:30:00 UTC,-560.055
2016-07-31 18:35:00 UTC,-514.063
2016-07-31 18:40:00 UTC,-469.474
2016-07-31 18:45:00 UTC,-431.141
2016-07-31 18:50:00 UTC,-387.19
2016-07-31 18:55:00 UTC,-345.184
2016-07-31 19:00:00 UTC,-305.137
2016-07-31 19:05:00 UTC,-266.163
2016-07-31 19:10:00 UTC,-229.339
2016-07-31 19:15:00 UTC,-194.68
2016-07-31 19:20:00 UTC,-162.193
2016-07-31 19:25:00 UTC,-131.896
2016-07-31 19:30:00 UTC,-103.795
2016-07-31 19:35:00 UTC,-77.9068
2016-07-31 19:40:00 UTC,-54.2342
2016-07-31 19:45:00 UTC,-32.7882
2016-07-31 19:50:00 UTC,-13.5789
2016-07-31 19:55:00 UTC,+3.38607
2016-07-31 20:00:00 UTC,+18.1038
2016-07-31 20:05:00 UTC,+18.1044
2016-07-31 20:10:00 UTC,+18.1044
2016-07-31 20:15:00 UTC,+18.1044
2016-07-31 20:20:00 UTC,+18.1044
2016-07-31 20:25:00 UTC,+18.1044
2016-07-31 20:30:00 UTC,+18.1044
2016-07-31 20:35:00 UTC,+18.1044
2016-07-31 20:40:00 UTC,+18.1044
2016-07-31 20:45:00 UTC,+18.1044
2016-07-31 20:50:00 UTC,+18.1044
2016-07-31 20:55:00 UTC,+18.1044
2016-07-31 21:00:00 UTC,+18.1044
2016-07-31 21:05:00 UTC,+18.1044
2016-07-31 21:10:00 UTC,+18.1044
2016-07-31 21:15:00 UTC,+18.1044
2016-07-31 21:20:00 UTC,+18.1044
2016-07-31 21:25:00 UTC,+18.1044
2016-07-31 21:30:00 UTC,+18.1044
2016-07-31 21:35:00 UTC,+18.1044
2016-07-31 21:40:00 UTC,+18.1044
2016-07-31 21:45:00 UTC,+18.1044
2016-07-31 21:50:00 UTC,+18.1044
2016-07-31 21:55:00 UTC,+18.1044
2016-07-31 22:00:00 UTC,+18.1044
2016-07-31 22:05:00 UTC,+18.1044
2016-07-31 22:10:00 UTC,+18.1044
2016-07-31 22:15:00 UTC,+18.1044
2016-07-31 22:20:00 UTC,+18.1044
2016-07-31 22:25:00 UTC,+18.1044
2016-07-31 22:30:00 UTC,+18.1044
2016-07-31 22:35:00 UTC,+18.1044
2016-07-31 22:40:00 UTC,+18.1044
2016-07-31 22:45:00 UTC,+18.1044
2016-07-31 22:50:00 UTC,+18.1044
2016-07-31 22:55:00 UTC,+18.1044
2016-07-31 23:00:00 UTC,+18.1044
2016-07-31 23:05:00 UTC,+18.1044
2016-07-31 23:10:00 UTC,+18.1044
2016-07-31 23:15:00 UTC,+18.1044
2016-07-31 23:20:00 UTC,+18.1044
2016-07-31 23:25:00 UTC,+18.1044
2016-07-31 23:30:00 UTC,+18.1044
2016-07-31 23:35:00 UTC,+18.1044
2016-07-31 23:40:00 UTC,+18.1044
2016-07-31 23:45:00 UTC,+18.1044
2016-07-31 23:50:00 UTC,+18.1044
2016-07-31 23:55:00 UTC,+18.1044
2016-08-01 00:00:00 UTC,+18.1044
# end of tape
