id,run,city,start_time,end_time,player_dir,tmy,month,slack_node,settings_file,flexible_houses,PV_share,EV_share,Batt_share,line_capacity,market_data,EV_data,EV_speed,p_min,p_max,load_forecast,unresp_factor,fixed_tariff,interval,allocation_rule,delta,ref_price,price_intervals,which_price,include_SO,prec,M,Comment
0,Test,Austin,2016-01-01 00:00,2017-01-01 00:00,players_Austin,722540TYA.tmy3,july,node_149,,0,0,0,0,,,None,slow,,,,,,,,,,,,,,10000,NO MARKET; year-long sim wo gridlabd_functions module included
1,Test,Austin,2016-07-31 00:00,2016-08-08 00:00,players_Austin,722540TYA.tmy3,july,node_149,HVAC_settings_2016-08-01_2016-08-07_0_OLS2.csv,437,0,0,0,100000,Ercot_LZ_South.csv,None,slow,0,10000,myopic,1,FALSE,300,by_price,3,forward,36,none,FALSE,4,10000,Corrected calculation of RR (with baseload in benchmark)
2,Test,Austin,2016-12-18 00:00,2016-12-26 00:00,players_Austin,722540TYA.tmy3,july,node_149,HVAC_settings_2016-12-19_2016-12-25_0_OLS2.csv,437,0,0,0,100000,Ercot_LZ_South.csv,None,slow,0,10000,myopic,1,FALSE,300,by_price,3,forward,36,none,FALSE,4,10000,
3,Test,Austin,2016-12-18 00:00,2016-12-26 00:00,players_Austin,722540TYA.tmy3,july,node_149,HVAC_settings_2016-12-19_2016-12-25_0_OLS2.csv,437,0,0,0,2200,Ercot_LZ_South.csv,None,slow,0,10000,myopic,1,FALSE,300,by_price,3,forward,36,none,FALSE,4,10000,
4,Test,Austin,2016-12-18 00:00,2016-12-26 00:00,players_Austin,722540TYA.tmy3,july,node_149,HVAC_settings_2016-12-19_2016-12-25_0_OLS2.csv,437,0,0,0,2100,Ercot_LZ_South.csv,None,slow,0,10000,myopic,1,FALSE,300,by_price,3,forward,36,none,FALSE,4,10000,
5,Test,Austin,2016-12-18 00:00,2016-12-26 00:00,players_Austin,722540TYA.tmy3,july,node_149,HVAC_settings_2016-12-19_2016-12-25_0_OLS2.csv,437,0,0,0,2000,Ercot_LZ_South.csv,None,slow,0,10000,myopic,1,FALSE,300,by_price,3,forward,36,none,FALSE,4,10000,
6,Test,Austin,2016-12-18 00:00,2016-12-26 00:00,players_Austin,722540TYA.tmy3,july,node_149,HVAC_settings_2016-12-19_2016-12-25_0_OLS2.csv,437,0,0,0,1900,Ercot_LZ_South.csv,None,slow,0,10000,myopic,1,FALSE,300,by_price,3,forward,36,none,FALSE,4,10000,
7,Test,Austin,2016-12-18 00:00,2016-12-26 00:00,players_Austin,722540TYA.tmy3,july,node_149,HVAC_settings_2016-12-19_2016-12-25_0_OLS2.csv,437,0,0,0,1800,Ercot_LZ_South.csv,None,slow,0,10000,myopic,1,FALSE,300,by_price,3,forward,36,none,FALSE,4,10000,
8,Test,Austin,2016-12-18 00:00,2016-12-26 00:00,players_Austin,722540TYA.tmy3,july,node_149,HVAC_settings_2016-12-19_2016-12-25_0_OLS2.csv,437,0,0,0,1700,Ercot_LZ_South.csv,None,slow,0,10000,myopic,1,FALSE,300,by_price,3,forward,36,none,FALSE,4,10000,
9,Test,Austin,2016-12-18 00:00,2016-12-26 00:00,players_Austin,722540TYA.tmy3,july,node_149,HVAC_settings_2016-12-19_2016-12-25_0_OLS2.csv,437,0,0,0,1600,Ercot_LZ_South.csv,None,slow,0,10000,myopic,1,FALSE,300,by_price,3,forward,36,none,FALSE,4,10000,
10,Test,Austin,2016-12-18 00:00,2016-12-26 00:00,players_Austin,722540TYA.tmy3,july,node_149,HVAC_settings_2016-12-19_2016-12-25_0_OLS2.csv,437,0,0,0,1500,Ercot_LZ_South.csv,None,slow,0,10000,myopic,1,FALSE,300,by_price,3,forward,36,none,FALSE,4,10000,
